Description,ACTUAL_AMT,ACTUAL_%REV,FC_AMT,FC_%REV,FC_VARIANCE_AMT,FC_VARIANCE%REV,LY_AMT,LY_%REV,LY_VARIANCE_AMT,LY_VARIANCE_%REV
DECORATIONS,466.00,0.20,0.00,0.00,466.00,0.20,0.00,0.00,466.00,0.20
TOTAL BANQUETS & CATERING OTHER EXPENSES,466.00,0.20,0.00,0.00,466.00,0.20,0.00,0.00,466.00,0.20
DUES - GOLF FULL,21188.00,47.80,24023.00,54.00,-2835.00,-6.20,17740.00,45.70,3448.00,2.00
DUES SPORTS,11354.00,25.60,8232.00,18.50,3122.00,7.10,8333.00,21.50,3021.00,4.10
DUES SOCIAL DINING,9745.00,22.00,10232.00,23.00,-487.00,-1.00,8454.00,21.80,1290.00,0.20
INITIATION FEES,2050.00,4.60,2023.00,4.50,27.00,0.10,4250.00,11.00,-2200.00,-6.30
TOTAL MEMBER SERVICES REVENUE,44337.00,3.50,44510.00,3.60,-173.00,-0.20,38778.00,3.00,5559.00,0.50
MANAGER,3297.00,7.40,3276.00,7.40,20.00,0.10,3486.00,9.00,-190.00,-1.60
TOTAL MEMBER SERVICES MANAGEMENT,3297.00,7.40,3276.00,7.40,20.00,0.10,3486.00,9.00,-190.00,-1.60
BONUSES/ INCENTIVES - MEMBER SERVICES,878.00,2.00,1409.00,3.20,-531.00,-1.20,1628.00,4.20,-751.00,-2.20
TOTAL MEMBER SERVICES BONUS,878.00,2.00,1409.00,3.20,-531.00,-1.20,1628.00,4.20,-751.00,-2.20
"TOTAL MEMBER SERVICES SALARIES, WAGES, SC, CONTRACT & BONUS",4174.00,9.40,4685.00,10.50,-511.00,-1.10,5114.00,13.20,-940.00,-3.80
PAYROLL TAXES,361.00,0.80,328.00,0.70,34.00,0.10,244.00,0.60,117.00,0.20
TOTAL MEMBER SERVICES TAXES,361.00,0.80,328.00,0.70,34.00,0.10,244.00,0.60,117.00,0.20
SUPPLEMENTAL PAY,577.00,1.30,173.00,0.40,404.00,0.90,173.00,0.40,404.00,0.90
TOTA MEMBER SERVICES SUPPLEMENTAL PAY,577.00,1.30,173.00,0.40,404.00,0.90,173.00,0.40,404.00,0.90
WORKERS COMP,36.00,0.10,37.00,0.10,0.00,0.00,50.00,0.10,-14.00,0.00
HEALTH INSURANCE,-939.00,-2.10,1459.00,3.30,-2398.00,-5.40,1895.00,4.90,-2834.00,-7.00
PTO EXPENSE,207.00,0.50,251.00,0.60,-45.00,-0.10,186.00,0.50,21.00,0.00
401K,0.00,0.00,113.00,0.30,-113.00,-0.30,104.00,0.30,-104.00,-0.30
EMPLOYEE MEALS,19.00,0.00,34.00,0.10,-16.00,0.00,1.00,0.00,17.00,0.00
EMPLOYEE BENEFITS,3.00,0.00,2.00,0.00,1.00,0.00,2.00,0.00,1.00,0.00
TOTAL MEMBER SERVICES PAYROLL RELATED,264.00,0.60,2397.00,5.40,-2133.00,-4.80,2656.00,6.80,-2392.00,-6.30
COLLATERAL/BROCHURES,0.00,0.00,300.00,0.70,-300.00,-0.70,0.00,0.00,0.00,0.00
MEMBER RELATIONS,36.00,0.10,600.00,1.30,-564.00,-1.30,0.00,0.00,36.00,0.10
MISCELLANEOUS,0.00,0.00,0.00,0.00,0.00,0.00,505.00,1.30,-505.00,-1.30
OPERATING SUPPLIES,0.00,0.00,3150.00,7.10,-3150.00,-7.10,567.00,1.50,-567.00,-1.50
TRAVEL-MEALS & ENTERTAINMENT,0.00,0.00,50.00,0.10,-50.00,-0.10,0.00,0.00,0.00,0.00
TRAVEL-OTHER,0.00,0.00,50.00,0.10,-50.00,-0.10,50.00,0.10,-50.00,-0.10
TOTAL MEMBER SERVICES OTHER EXPENSES,36.00,0.10,4150.00,9.30,-4114.00,-9.20,1123.00,2.90,-1086.00,-2.80
TOTAL MEMBER SERVICES EXPENSE,4474.00,10.10,11232.00,25.20,-6758.00,-15.10,8893.00,22.90,-4418.00,-12.80
TOTAL MEMBER SERVICES PROFIT,39863.00,89.90,33278.00,74.80,6585.00,15.10,29885.00,77.10,9978.00,12.80
MERCHANDISE,12804.00,100.00,19887.00,100.00,-7083.00,0.00,18104.00,100.00,-5301.00,0.00
TOTAL RETAIL REVENUE,12804.00,100.00,19887.00,100.00,-7083.00,0.00,18104.00,100.00,-5301.00,0.00
SUNDRIES,0.00,0.00,0.00,0.00,0.00,0.00,230.00,0.00,-230.00,0.00
MERCHANDISE,6402.00,50.00,8949.00,45.00,-2547.00,5.00,6429.00,35.50,-28.00,14.50
TOTAL RETAIL COST OF SALES,6402.00,50.00,8949.00,45.00,-2547.00,5.00,6660.00,36.80,-258.00,13.20
TOTAL RETAIL GROSS PROFIT,6402.00,50.00,10938.00,55.00,-4536.00,-5.00,11445.00,63.20,-5043.00,-13.20
CLERKS,3244.00,25.30,1892.00,9.50,1353.00,15.80,1419.00,7.80,1826.00,17.50
TOTAL RETAIL  NON-MANAGEMENT,3244.00,25.30,1892.00,9.50,1353.00,15.80,1419.00,7.80,1826.00,17.50
SUBTOTAL: RETAIL SALARIES & WAGES,3244.00,25.30,1892.00,9.50,1353.00,15.80,1419.00,7.80,1826.00,17.50
"TOTAL RETAIL SALARIES, WAGES, SC, CONTRACT & BONUS",3244.00,25.30,1892.00,9.50,1353.00,15.80,1419.00,7.80,1826.00,17.50
PAYROLL TAXES,225.00,1.80,142.00,0.70,83.00,1.00,160.00,0.90,66.00,0.90
TOTAL RETAIL TAXES,225.00,1.80,142.00,0.70,83.00,1.00,160.00,0.90,66.00,0.90
SUPPLEMENTAL PAY,0.00,0.00,175.00,0.90,-175.00,-0.90,165.00,0.90,-165.00,-0.90
PTO EXPENSE,0.00,0.00,25.00,0.10,-25.00,-0.10,101.00,0.60,-101.00,-0.60
TOTAL RETAIL SUPPLEMENTAL PAY,0.00,0.00,200.00,1.00,-200.00,-1.00,266.00,1.50,-266.00,-1.50
WORKERS COMP,190.00,1.50,46.00,0.20,144.00,1.30,113.00,0.60,76.00,0.90
HEALTH INSURANCE,0.00,0.00,288.00,1.40,-288.00,-1.40,1021.00,5.60,-1021.00,-5.60
EMPLOYEE MEALS,72.00,0.60,42.00,0.20,30.00,0.40,2.00,0.00,70.00,0.60
EMPLOYEE BENEFITS,1.00,0.00,3.00,0.00,-2.00,0.00,2.00,0.00,-1.00,0.00
TOTAL RETAIL BENEFITS,263.00,2.10,378.00,1.90,-116.00,0.10,1138.00,6.30,-876.00,-4.20
TOTAL RETAIL PAYROLL RELATED,488.00,3.80,720.00,3.60,-232.00,0.20,1563.00,8.60,-1076.00,-4.80
TOTAL RETAIL LABOR & RELATED,3732.00,29.20,2611.00,13.10,1121.00,16.00,2982.00,16.50,750.00,12.70
MISCELLANEOUS,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
OPERATING SUPPLIES,97.00,0.80,199.00,1.00,-102.00,-0.20,51.00,0.30,46.00,0.50
TOTAL RETAIL OTHER EXPENSES,98.00,0.80,199.00,1.00,-101.00,-0.20,51.00,0.30,47.00,0.50
TOTAL RETAIL EXPENSE,10233.00,79.90,11759.00,59.10,-1527.00,20.80,9694.00,53.50,539.00,26.40
TOTAL RETAIL PROFIT,2571.00,20.10,8127.00,40.90,-5556.00,-20.80,8411.00,46.50,-5840.00,-26.40
BODY TREATMENT,896.00,2.00,794.00,2.10,102.00,-0.10,555.00,1.30,341.00,0.70
MASSAGE,23335.00,53.30,18498.00,49.00,4837.00,4.40,21991.00,52.00,1344.00,1.30
SPA MASSAGE & BODY TREATMENT REVENUE,24231.00,55.40,19292.00,51.10,4939.00,4.30,22546.00,53.30,1685.00,2.00
FACIALS,5402.00,12.30,5820.00,15.40,-418.00,-3.10,5620.00,13.30,-218.00,-1.00
WAXING,20.00,0.00,40.00,0.10,-20.00,-0.10,20.00,0.00,0.00,0.00
SPA SKIN CARE REVENUE,5422.00,12.40,5860.00,15.50,-438.00,-3.10,5640.00,13.30,-218.00,-1.00
SALON SERVICES,1894.00,4.30,449.00,1.20,1445.00,3.10,784.00,1.90,1110.00,2.50
SPA HAIR CARE REVENUE,1894.00,4.30,449.00,1.20,1445.00,3.10,784.00,1.90,1110.00,2.50
PEDICURE,1430.00,3.30,1519.00,4.00,-89.00,-0.80,2640.00,6.20,-1210.00,-3.00
MANICURE,504.00,1.20,678.00,1.80,-174.00,-0.60,1320.00,3.10,-816.00,-2.00
SPA NAIL CARE REVENUE,1934.00,4.40,2196.00,5.80,-263.00,-1.40,3960.00,9.40,-2026.00,-4.90
MERCHANDISE,3703.00,8.50,3817.00,10.10,-114.00,-1.60,2279.00,5.40,1424.00,3.10
SPA RETAIL REVENUE,3703.00,8.50,3817.00,10.10,-114.00,-1.60,2279.00,5.40,1424.00,3.10
SERVICE CHARGES,6505.00,14.90,6152.00,16.30,353.00,-1.40,7062.00,16.70,-557.00,-1.80
OTHER,70.00,0.20,22.00,0.10,48.00,0.10,0.00,0.00,70.00,0.20
SPA OTHER REVENUE,6575.00,15.00,6174.00,16.30,401.00,-1.30,7062.00,16.70,-487.00,-1.70
TOTAL SPA REVENUE,43759.00,3.40,37789.00,3.10,5970.00,0.30,42270.00,3.30,1488.00,0.20
MERCHANDISE,-1243.00,-33.60,2099.00,55.00,-3343.00,-88.60,1813.00,79.60,-3056.00,-113.10
TOTAL SPA COST OF SALES,-1243.00,-2.80,2099.00,5.60,-3343.00,-8.40,1813.00,4.30,-3056.00,-7.10
TOTAL SPA GROSS PROFIT,45002.00,102.80,35689.00,94.40,9313.00,8.40,40458.00,95.70,4544.00,7.10
MANAGER,4929.00,11.30,4387.00,11.60,542.00,-0.30,4286.00,10.10,644.00,1.10
TOTAL SPA MANAGEMENT,4929.00,11.30,4387.00,11.60,542.00,-0.30,4286.00,10.10,644.00,1.10
SPA RECEPTIONIST,1477.00,3.40,1438.00,3.80,38.00,-0.40,2143.00,5.10,-667.00,-1.70
TOTAL SPA RECEPTION/RETAIL,1477.00,3.40,1438.00,3.80,38.00,-0.40,2143.00,5.10,-667.00,-1.70
THERAPISTS,0.00,0.00,1.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00
COSMETOLOGIST,63.00,0.10,0.00,0.00,63.00,0.10,1.00,0.00,62.00,0.10
LEAD ESTHETITION,602.00,1.40,803.00,2.10,-201.00,-0.70,944.00,2.20,-343.00,-0.90
MASSAGE THERAPIST,258.00,0.60,804.00,2.10,-546.00,-1.50,824.00,1.90,-566.00,-1.40
TOTAL SPA THERAPISTS/TECHNICIANS,922.00,2.10,1608.00,4.30,-686.00,-2.10,1768.00,4.20,-846.00,-2.10
SUBTOTAL: SPA SALARIES & WAGES,7328.00,16.70,7433.00,19.70,-106.00,-2.90,8197.00,19.40,-870.00,-2.60
SERVICE CHARGES DISTRIBUTED,6041.00,13.80,5502.00,14.60,539.00,-0.80,6266.00,14.80,-225.00,-1.00
TOTAL SPA SERVICE CHARGE,6041.00,13.80,5502.00,14.60,539.00,-0.80,6266.00,14.80,-225.00,-1.00
COMMISSIONS,8844.00,20.20,7339.00,19.40,1506.00,0.80,7794.00,18.40,1050.00,1.80
TOTAL SPA BONUS,8844.00,20.20,7339.00,19.40,1506.00,0.80,7794.00,18.40,1050.00,1.80
CONTRACTED/LEASED & OUTSOURCED LABOR,0.00,0.00,92.00,0.20,-92.00,-0.20,92.00,0.20,-92.00,-0.20
TOTAL SPA CONTRACT LABOR,0.00,0.00,92.00,0.20,-92.00,-0.20,92.00,0.20,-92.00,-0.20
"TOTAL SPA SALARIES, WAGES, SC, CONTRACT & BONUS",22213.00,50.80,20366.00,53.90,1847.00,-3.10,22350.00,52.90,-137.00,-2.10
PAYROLL TAXES,1840.00,4.20,1527.00,4.00,313.00,0.20,1884.00,4.50,-44.00,-0.30
TOTAL SPA TAXES,1840.00,4.20,1527.00,4.00,313.00,0.20,1884.00,4.50,-44.00,-0.30
SUPPLEMENTAL PAY,410.00,0.00,251.00,0.00,160.00,0.00,398.00,0.00,12.00,0.00
PTO EXPENSE,351.00,0.80,255.00,0.70,96.00,0.10,1417.00,3.40,-1067.00,-2.60
TOTAL SPA SUPPLEMENTAL PAY,761.00,1.70,505.00,1.30,256.00,0.40,1816.00,4.30,-1055.00,-2.60
WORKERS COMP,250.00,0.60,255.00,0.70,-5.00,-0.10,357.00,0.80,-108.00,-0.30
HEALTH INSURANCE,-2841.00,-6.50,2273.00,6.00,-5114.00,-12.50,3506.00,8.30,-6347.00,-14.80
401K,302.00,0.70,277.00,0.70,25.00,0.00,295.00,0.70,7.00,0.00
EMPLOYEE MEALS,137.00,0.30,220.00,0.60,-83.00,-0.30,8.00,0.00,129.00,0.30
EMPLOYEE BENEFITS,11.00,0.00,7.00,0.00,4.00,0.00,7.00,0.00,4.00,0.00
TOTAL SPA BENEFITS,-2141.00,-4.90,3032.00,8.00,-5172.00,-12.90,4174.00,9.90,-6315.00,-14.80
TOTAL SPA LABOR & RELATED,22674.00,51.80,25430.00,67.30,-2757.00,-15.50,30224.00,71.50,-7550.00,-19.70
CONTRACT SERVICES,0.00,0.00,500.00,1.30,-500.00,-1.30,0.00,0.00,0.00,0.00
GUEST AMENITIES,0.00,0.00,0.00,0.00,0.00,0.00,321.00,0.80,-321.00,-0.80
HEALTH & BEAUTY PROD,2579.00,5.90,986.00,2.60,1592.00,3.30,1689.00,4.00,890.00,1.90
LAUNDRY ALLOCATION,1470.00,3.40,1746.00,4.60,-277.00,-1.30,985.00,2.30,485.00,1.00
MISCELLANEOUS,79.00,0.20,0.00,0.00,79.00,0.20,0.00,0.00,79.00,0.20
OPERATING SUPPLIES,0.00,0.00,246.00,0.70,-246.00,-0.70,269.00,0.60,-269.00,-0.60
TOTAL SPA OTHER EXPENSES,4127.00,9.40,3478.00,9.20,649.00,0.20,3263.00,7.70,864.00,1.70
TOTAL SPA EXPENSE,25557.00,58.40,31008.00,82.10,-5451.00,-23.70,35300.00,83.50,-9743.00,-25.10
TOTAL SPA PROFIT,18201.00,41.60,6781.00,17.90,11421.00,23.70,6970.00,16.50,11231.00,25.10
GF-OUTSIDE ROUNDS TWILIGHT,3268.00,6.00,2746.00,5.60,522.00,0.40,3488.00,8.80,-220.00,-2.80
GF-OUTSIDE ROUNDS TOURNAMENT,5953.00,11.00,8027.00,16.30,-2074.00,-5.30,5199.00,13.10,754.00,-2.10
GF-OUTSIDE ROUNDS DISCOUNT,17790.00,32.80,16680.00,33.90,1110.00,-1.10,13239.00,33.30,4550.00,-0.50
GF - MEMBER ROUNDS - 18 HOLE,635.00,1.20,565.00,1.10,70.00,0.00,1151.00,2.90,-516.00,-1.70
GF - MEMBER ROUNDS DISCOUNT,511.00,0.90,0.00,0.00,511.00,0.90,0.00,0.00,511.00,0.90
GF-RESORT ROUNDS 18 HOLE,989.00,1.80,1751.00,3.60,-762.00,-1.70,-225.00,-0.60,1214.00,2.40
GF-RESORT ROUNDS TOURNAMENT,6800.00,12.50,0.00,0.00,6800.00,12.50,0.00,0.00,6800.00,12.50
GREENS FEE REVENUE,35946.00,66.20,29769.00,60.50,6177.00,5.80,22852.00,57.50,13093.00,8.70
GOLF CART RENTALS,10828.00,19.90,10537.00,21.40,291.00,-1.50,9212.00,23.20,1617.00,-3.20
GOLF CART RENTAL REVENUE,10828.00,19.90,10537.00,21.40,291.00,-1.50,9212.00,23.20,1617.00,-3.20
GOLF CLUB RENTALS,320.00,0.60,612.00,1.20,-292.00,-0.70,272.00,0.70,48.00,-0.10
GOLF EQUIPMENT RENTAL REVENUE,320.00,0.60,612.00,1.20,-292.00,-0.70,272.00,0.70,48.00,-0.10
MERCHANDISE,6731.00,12.40,7938.00,16.10,-1207.00,-3.70,6887.00,17.30,-156.00,-4.90
MERCHANDISE REVENUE,6731.00,12.40,7938.00,16.10,-1207.00,-3.70,6887.00,17.30,-156.00,-4.90
RANGE BALLS,461.00,0.80,385.00,0.80,76.00,0.10,524.00,1.30,-63.00,-0.50
OTHER REVENUE,461.00,0.80,385.00,0.80,76.00,0.10,524.00,1.30,-63.00,-0.50
TOTAL GOLF COURSE REVENUE,54286.00,4.30,49241.00,4.00,5045.00,0.20,39748.00,3.10,14538.00,1.20
MERCHANDISE,5840.00,86.80,4525.00,57.00,1315.00,29.80,4433.00,64.40,1407.00,22.40
TOTAL GOLF COURSE COST OF SALES,5840.00,10.80,4525.00,9.20,1315.00,1.60,4433.00,11.20,1407.00,-0.40
TOTAL GOLF COURSE GROSS PROFIT,48446.00,89.20,44716.00,90.80,3730.00,-1.60,35315.00,88.80,13131.00,0.40
MANAGER,5165.00,9.50,4851.00,9.90,315.00,-0.30,5568.00,14.00,-402.00,-4.50
ASSISTANT GOLF PRO,3018.00,5.60,3000.00,6.10,18.00,-0.50,2772.00,7.00,247.00,-1.40
TOTAL GOLF COURSE MANAGEMENT,8184.00,15.10,7850.00,15.90,333.00,-0.90,8339.00,21.00,-156.00,-5.90
CART ATTENDANT,2448.00,4.50,1517.00,3.10,931.00,1.40,2100.00,5.30,347.00,-0.80
GOLF COUNTER ATTENDANT,1906.00,3.50,2018.00,4.10,-112.00,-0.60,1522.00,3.80,384.00,-0.30
TOTAL GOLF COURSE NON-MANAGEMENT,4353.00,8.00,3534.00,7.20,819.00,0.80,3622.00,9.10,731.00,-1.10
SUBTOTAL: GOLF COURSE SALARIES & WAGES,12537.00,23.10,11385.00,23.10,1152.00,0.00,11961.00,30.10,576.00,-7.00
BONUS/INCENTIVES - GOLF,617.00,1.10,617.00,1.30,0.00,-0.10,0.00,0.00,617.00,1.10
TOTAL GOLF COURSE BONUS,617.00,1.10,617.00,1.30,0.00,-0.10,0.00,0.00,617.00,1.10
"TOTAL GOLF COURSE  SALARIES, WAGES, SC, CONTRACT & BONUS",13154.00,24.20,12002.00,24.40,1152.00,-0.10,11961.00,30.10,1192.00,-5.90
PAYROLL TAXES,1133.00,2.10,952.00,1.90,181.00,0.20,895.00,2.30,238.00,-0.20
TOTAL GOLF COURSE TAXES,1133.00,2.10,952.00,1.90,181.00,0.20,895.00,2.30,238.00,-0.20
SUPPLEMENTAL PAY,623.00,0.00,553.00,0.00,70.00,0.00,494.00,0.00,129.00,0.00
PTO PAY,1042.00,1.90,660.00,1.30,382.00,0.60,917.00,2.30,125.00,-0.40
TOTAL GOLF COURSE SUPPLEMENTAL PAY,1666.00,3.10,1213.00,2.50,453.00,0.60,1412.00,3.60,254.00,-0.50
WORKERS COMP,202.00,0.40,172.00,0.30,30.00,0.00,243.00,0.60,-41.00,-0.20
HEALTH INSURANCE,-1953.00,-3.60,3777.00,7.70,-5730.00,-11.30,3777.00,9.50,-5730.00,-13.10
401K,274.00,0.50,240.00,0.50,34.00,0.00,289.00,0.70,-15.00,-0.20
EMPLOYEE MEALS,154.00,0.30,158.00,0.30,-5.00,0.00,9.00,0.00,145.00,0.30
EMPLOYEE BENEFITS,9.00,0.00,6.00,0.00,3.00,0.00,6.00,0.00,3.00,0.00
TOTAL GOLF COURSE PAYROLL RELATED,1485.00,2.70,6518.00,13.20,-5033.00,-10.50,6631.00,16.70,-5146.00,-13.90
TOTAL GOLF COURSE LABOR & RELATED,14639.00,27.00,18519.00,37.60,-3881.00,-10.60,18592.00,46.80,-3953.00,-19.80
CART MAINTENANCE,0.00,0.00,100.00,0.20,-100.00,-0.20,237.00,0.60,-237.00,-0.60
COMP GIFTS & SERVICES,0.00,0.00,103.00,0.20,-103.00,-0.20,0.00,0.00,0.00,0.00
DUES & SUBSCRIPTIONS,14.00,0.00,14.00,0.00,0.00,0.00,14.00,0.00,0.00,0.00
MISCELLANEOUS,-399.00,-0.70,0.00,0.00,-399.00,-0.70,0.00,0.00,-399.00,-0.70
OPERATING SUPPLIES - PRO SHOP,4377.00,8.10,4397.00,8.90,-20.00,-0.90,5353.00,13.50,-976.00,-5.40
T&E - TRANSPORTATION,0.00,0.00,850.00,1.70,-850.00,-1.70,0.00,0.00,0.00,0.00
UNIFORM REPLACEMENT,0.00,0.00,135.00,0.30,-135.00,-0.30,100.00,0.30,-100.00,-0.30
TOTAL GOLF COURSE OTHER EXPENSES,3992.00,7.40,5600.00,11.40,-1608.00,-4.00,5704.00,14.40,-1713.00,-7.00
TOTAL GOLF COURSE EXPENSE,24471.00,45.10,28644.00,58.20,-4173.00,-13.10,28729.00,72.30,-4259.00,-27.20
TOTAL GOLF COURSE PROFIT,29815.00,54.90,20597.00,41.80,9218.00,13.10,11018.00,27.70,18797.00,27.20
MANAGER,6016.00,11.10,5145.00,10.40,871.00,0.60,5613.00,14.10,404.00,-3.00
TOTAL GOLF MAINTENANCE MANAGEMENT,6016.00,11.10,5145.00,10.40,871.00,0.60,5613.00,14.10,404.00,-3.00
HEAD MECHANIC,3359.00,6.20,2773.00,5.60,587.00,0.60,2541.00,6.40,818.00,-0.20
IRRIGATION TECHNICIAN,270.00,0.50,2478.00,5.00,-2208.00,-4.50,2604.00,6.60,-2334.00,-6.10
GROUNDS ATTENDANT,15043.00,27.70,13948.00,28.30,1095.00,-0.60,9633.00,24.20,5409.00,3.50
TOTAL GOLF MAINTENANCE  NON-MANAGEMENT,18672.00,34.40,19199.00,39.00,-527.00,-4.60,14778.00,37.20,3894.00,-2.80
SUBTOTAL: GOLF MAINTENANCE  SALARIES & WAGES,24688.00,45.50,24344.00,49.40,345.00,-4.00,20391.00,51.30,4298.00,-5.80
"TOTAL GOLF MAINTENANCE SALARIES, WAGES, SC, CONTRACT & BONUS",24688.00,45.50,24344.00,49.40,345.00,-4.00,20391.00,51.30,4298.00,-5.80
PAYROLL TAXES,2119.00,3.90,1823.00,3.70,296.00,0.20,1736.00,4.40,383.00,-0.50
TOTAL GOLF MAINTENANCE TAXES,2119.00,3.90,1823.00,3.70,296.00,0.20,1736.00,4.40,383.00,-0.50
SUPPLEMENTAL PAY,893.00,1.60,1000.00,2.00,-107.00,-0.40,2025.00,5.10,-1132.00,-3.50
PTO PAY,1558.00,2.90,1826.00,3.70,-267.00,-0.80,1968.00,5.00,-410.00,-2.10
TOTAL GOLF MAINTENANCE SUPPLEMENTAL PAY,2451.00,4.50,2826.00,5.70,-375.00,-1.20,3993.00,10.00,-1542.00,-5.50
401K,50.00,0.10,49.00,0.10,1.00,0.00,44.00,0.10,5.00,0.00
EMPLOYEE MEALS,257.00,0.50,337.00,0.70,-80.00,-0.20,6.00,0.00,251.00,0.50
EMPLOYEE BENEFITS,12.00,0.00,13.00,0.00,-1.00,0.00,13.00,0.00,-1.00,0.00
WORKERS COMP,309.00,0.60,365.00,0.70,-57.00,-0.20,391.00,1.00,-83.00,-0.40
HEALTH INSURANCE,-3225.00,-5.90,3104.00,6.30,-6329.00,-12.20,4264.00,10.70,-7490.00,-16.70
TOTAL GOLF MAINTENANCE BENEFITS,-2598.00,-4.80,3867.00,7.90,-6466.00,-12.60,4719.00,11.90,-7317.00,-16.70
TOTAL GOLF MAINTENANCE PAYROLL RELATED,1972.00,3.60,8517.00,17.30,-6545.00,-13.70,10448.00,26.30,-8476.00,-22.70
TOTAL GOLF MAINTENANCE LABOR & RELATED,26660.00,49.10,32860.00,66.70,-6200.00,-17.60,30838.00,77.60,-4178.00,-28.50
VEHICLES REPAIR & MAINTENANCE,1486.00,2.70,2500.00,5.10,-1014.00,-2.30,1348.00,3.40,138.00,-0.70
GAS & OIL,1945.00,3.60,1500.00,3.00,445.00,0.50,1417.00,3.60,528.00,0.00
LANDSCAPING,2799.00,5.20,4500.00,9.10,-1701.00,-4.00,5213.00,13.10,-2414.00,-8.00
MISCELLANEOUS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OPERATING SUPPLIES,599.00,1.10,500.00,1.00,99.00,0.10,551.00,1.40,48.00,-0.30
PLUMBING/IRRIGATION,372.00,0.70,500.00,1.00,-128.00,-0.30,55.00,0.10,317.00,0.50
UNIFORM REPLACEMENT,1427.00,2.60,0.00,0.00,1427.00,2.60,0.00,0.00,1427.00,2.60
WATER,2257.00,4.20,2300.00,4.70,-43.00,-0.50,2190.00,5.50,66.00,-1.40
TOTAL GOLF MAINTENANCE OTHER EXPENSES,10884.00,20.10,11800.00,24.00,-916.00,-3.90,10775.00,27.10,109.00,-7.10
TOTAL GOLF MAINTENANCE EXPENSE,37544.00,69.20,44660.00,90.70,-7116.00,-21.50,41614.00,104.70,-4069.00,-35.50
SPECIAL PROGRAMS,0.00,0.00,1415.00,19.60,-1415.00,-19.60,377.00,9.30,-377.00,-9.30
ACTIVITES REVENUE,2599.00,85.50,2795.00,38.80,-196.00,46.70,2541.00,62.80,58.00,22.70
EQUIPMENT RENTAL,291.00,9.60,3000.00,41.60,-2709.00,-32.00,1126.00,27.90,-835.00,-18.30
TOTAL RECREATION REVENUE 1,2890.00,95.10,7210.00,100.00,-4320.00,-4.90,4044.00,100.00,-1154.00,-4.90
OTHER,150.00,4.90,0.00,0.00,150.00,4.90,0.00,0.00,150.00,4.90
TOTAL RECREATION REVENUE 3,150.00,4.90,0.00,0.00,150.00,4.90,0.00,0.00,150.00,4.90
TOTAL RECREATION REVENUE,3040.00,0.20,7210.00,0.60,-4170.00,-0.30,4044.00,0.30,-1004.00,-0.10
TOTAL RECREATION GROSS PROFIT,3040.00,100.00,7210.00,100.00,-4170.00,0.00,4044.00,100.00,-1004.00,0.00
MANAGER,3626.00,119.30,3604.00,50.00,23.00,69.30,923.00,22.80,2703.00,96.40
TOTAL RECREATION MANAGEMENT,3626.00,119.30,3604.00,50.00,23.00,69.30,923.00,22.80,2703.00,96.40
OUTDOOR SERVICES ATTENDANT,1241.00,40.80,1094.00,15.20,147.00,25.60,1615.00,39.90,-375.00,0.90
LIFEGUARDS,0.00,0.00,210.00,2.90,-210.00,-2.90,210.00,5.20,-210.00,-5.20
SUPERVISOR,1541.00,50.70,2956.00,41.00,-1415.00,9.70,3030.00,74.90,-1489.00,-24.20
TOTAL RECREATION NON-MANAGEMENT,2782.00,91.50,4259.00,59.10,-1478.00,32.40,4855.00,120.00,-2073.00,-28.50
SUBTOTAL: RECREATION SALARIES & WAGES,6408.00,210.80,7863.00,109.10,-1455.00,101.70,5778.00,142.90,630.00,67.90
CONTRACTED/LEASED & OUTSOURCED LABOR,2240.00,73.70,2456.00,34.10,-216.00,39.60,2480.00,61.30,-240.00,12.40
TOTAL RECREATION CONTRACT LABOR,2240.00,73.70,2456.00,34.10,-216.00,39.60,2480.00,61.30,-240.00,12.40
"TOTAL RECREATION SALARIES, WAGES, SC, CONTRACT & BONUS",8648.00,284.40,10319.00,143.10,-1671.00,141.30,8258.00,204.20,390.00,80.30
PAYROLL TAXES,618.00,20.30,722.00,10.00,-105.00,10.30,609.00,15.10,8.00,5.20
TOTAL RECREATION TAXES,618.00,20.30,722.00,10.00,-105.00,10.30,609.00,15.10,8.00,5.20
SUPPLEMENTAL PAY,559.00,0.00,422.00,0.00,137.00,0.00,371.00,0.00,188.00,0.00
PTO PAY,344.00,11.30,232.00,3.20,112.00,8.10,-847.00,-20.90,1190.00,32.20
TOTAL RECREATION SUPPLEMENTAL PAY,903.00,29.70,654.00,9.10,249.00,20.60,-476.00,-11.80,1379.00,41.50
WORKERS COMP,609.00,20.00,164.00,2.30,445.00,17.80,240.00,5.90,370.00,14.10
HEALTH INSURANCE,-662.00,-21.80,1496.00,20.80,-2158.00,-42.50,137.00,3.40,-799.00,-25.20
EMPLOYEE MEALS,125.00,4.10,129.00,1.80,-4.00,2.30,4.00,0.10,121.00,4.00
EMPLOYEE BENEFITS,5.00,0.20,3.00,0.00,2.00,0.10,3.00,0.10,2.00,0.10
TOTAL RECREATION BENEFITS,77.00,2.50,1793.00,24.90,-1715.00,-22.30,384.00,9.50,-306.00,-6.90
TOTAL RECREATION PAYROLL RELATED,1598.00,52.60,3169.00,44.00,-1571.00,8.60,517.00,12.80,1081.00,39.80
